species_id,gear,encount_prob,E_scaled,sumA,A_scaled,sel0123,pcm,geomean
ITS-Mam-180417,PST,0.35714285714285715,1.7429092594726532,308.687358,1.5260430396347235,3,1,1.6807019485041865
ITS-Mam-180417,LLT,0.25,1.4999250378975075,563.7911475,1.9607745519894104,1,1,1.3095566917828754
Fis-159132,GND,0.11138613861386136,1.222183596299345,4.966549402,1.0084615222680555,1,2,1.2530155038081248
Fis-23201,GND,0.10714285714285714,1.2136942223063456,9.77267489,1.0166518129966249,1,2,1.2533659147911287
Rep-5181,GND,0.14285714285714285,1.2851464534140915,739.4997867,2.2602059426516807,3,3,2.261183386821854
Rep-5181,PST,0.5,2.040220146869337,198.666949,1.3385533167725263,3,2,2.0119444664751778
Rep-5181,LLT,0.35,1.6999350328445064,448.2289547,1.7638408766981308,3,2,2.0594950116769426
Fis-164471,GND,0.08652694610778443,1.1724487427926524,5.192451812,1.008846490662827,1,2,1.2401871784943073
ITS-Mam-552771,GND,0.11428571428571428,1.2279846685278948,96.03587594,1.163656026170114,2,2,1.5462132470139969
ITS-Mam-552771,PST,0.625,2.3003671733414346,78.50419908,1.1337796671775655,1,1,1.270812436913483
ITS-Mam-180530,GND,0.1,1.1994037760847962,551.3442587,1.939563362603552,2,2,1.746555311238323
ITS-Mam-180530,PST,0.7142857142857143,2.486186477964362,288.7054413,1.4919911390974467,1,1,1.387793937551889
Fis-23277,GND,0.05769230769230769,1.114760363849466,883.458212,2.5055306556617483,3,3,2.239138396340072
Fis-23277,PST,0.6964285714285714,2.4490226170397764,393.3835653,1.6703768825870449,2,3,2.2258178928908174
Fis-23277,LLT,0.4875,1.97494877589663,712.6025723,2.2143694354121823,3,3,2.5047368539576023
ITS-Mam-180438,GND,0.1,1.1994037760847962,119.3334176,1.2033582020564433,3,3,1.8984567643514692
ITS-Mam-180438,PST,0.7142857142857143,2.486186477964362,49.02867744,1.0835493741461857,3,1,1.6860712189676996
ITS-Mam-180438,LLT,0.5,1.9999500252650049,109.5853399,1.1867461534099766,1,1,1.2412070797241792
ITS-Mam-180447,GND,0.1,1.1994037760847962,4.316981607,1.0073545705036355,3,3,1.8159235907759812
ITS-Mam-180447,PST,0.7142857142857143,2.486186477964362,4.270863724,1.0072759793660346,3,1,1.6555826178435584
ITS-Mam-180447,LLT,0.5,1.9999500252650049,9.6991414,1.0165265019403715,1,1,1.1940828540872446
